,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9
ctx_lh_posteriorcingulate,0.08640426435426195,0.004752258112999809,0.004515202637995163,0.00437385503880519,0.004791900561522908,0.003973592647078902,0.004217178008080052,0.005446928961206797,0.005115008414110285,0.0038633312911464574
ctx_lh_precentral,0.00491855325183442,0.0047518743376355,0.00451500489576572,0.004373607190060139,0.004791688000586592,0.003973400103249837,0.004216898713054918,0.11303548175068363,0.005114760216454115,0.003863078469008386
ctx_lh_precuneus,0.0049187438000854195,0.004752100883008303,0.004515119798024741,0.004373774303650765,0.12911687786618473,0.003973537418429828,0.004217039703682274,0.00544676579397776,0.0051149115476617915,0.0038632610210813023
ctx_lh_rostralanteriorcingulate,0.004918910439016829,0.004752198001105751,0.004515312430661289,0.004373907527052863,0.004791955618601659,0.003973617433252003,0.12104666613281068,0.0054469682654803625,0.005115131178622949,0.0038633484441445995
ctx_lh_rostralmiddlefrontal,0.00491919158917975,0.004752499641599288,0.004515472686087379,0.0043741432117917894,0.004792187098152838,0.003973856458250966,0.004217447546773334,0.005447309267795027,0.005115469855327042,0.0776026588482667
ctx_lh_superiorfrontal,0.004919152055366679,0.004752472814384399,0.0045154026847536955,0.004374041657477147,0.004792194825157706,0.07532027135132298,0.004217398184963898,0.005447271701276387,0.005115368514865694,0.0038635430082812052
ctx_lh_superiorparietal,0.004919203019328807,0.004752556143742304,0.0045155214890043385,0.004374142299557663,0.0047922085625875695,0.0759297617921246,0.0042173728490014694,0.0054473543444103776,0.0051154606557229695,0.0038635368238596787
ctx_lh_superiortemporal,0.004918831110358817,0.0956949573820894,0.004515184425963712,0.00437380024137724,0.0047918304721993365,0.003973586994728452,0.004217122798878397,0.0054468477427431425,0.005115003668871022,0.0038633338030427014
ctx_lh_supramarginal,0.0049190426142194325,0.004752365595284246,0.07378496133988735,0.0043739860565602156,0.004792033563343978,0.003973727182741518,0.00421728890153981,0.005447120887904916,0.0051153043971222355,0.003863454997724202
ctx_lh_transversetemporal,0.21886007094179638,0.004751692316881717,0.004514868757096745,0.004373446758465705,0.004791331619495683,0.003973286878368338,0.004216812461077801,0.005446437114969654,0.005114505843980701,0.0038629307094701364
ctx_lh_insula,0.004918984768345891,0.004752372796556372,0.004515329488899531,0.004373953463630659,0.004792038146725532,0.003973731712240046,0.004217278537773679,0.005447101691087461,0.005115265703982151,0.09578633055952789
ctx_rh_caudalanteriorcingulate,0.004918455738763477,0.004751801694821928,0.004514982610147652,0.0043735694270319,0.004791493572593317,0.18162767495994317,0.0042169166766493306,0.005446445888571429,0.00511468833446709,0.0038630433288387896
ctx_rh_caudalmiddlefrontal,0.004919111157637242,0.004752392376468515,0.004515343731504089,0.004374095852166508,0.004792064143499314,0.0039738075910136905,0.0042173556857423,0.005447185344195173,0.0051152771382754515,0.08762061176806155
ctx_rh_cuneus,0.004918807915039327,0.004752111110399936,0.004515220996718989,0.004373835198982248,0.004791788160010767,0.003973564312835477,0.004217113470659105,0.005446885199617188,0.08696248365224003,0.0038632645143565785
ctx_rh_entorhinal,0.00491844520080251,0.26329096065667695,0.004514841204101913,0.0043734642525204755,0.004791405740124541,0.003973270259346585,0.004216812852313469,0.005446306678912198,0.005114556907512143,0.0038630714195435874
ctx_rh_fusiform,0.10764271505262162,0.00475214244751952,0.00451514181591557,0.0043738021536351744,0.004791782615968083,0.003973519299901927,0.00421703954754686,0.005446780538652995,0.005114944172414928,0.0038632421559374477
ctx_rh_inferiorparietal,0.004918954051090387,0.004752306182350422,0.0045153129702074956,0.09825569815289961,0.004791970039439204,0.003973672315150988,0.00421719016046953,0.005447001143095587,0.005115124522895679,0.003863394599490435
ctx_rh_inferiortemporal,0.004918770686262157,0.10896919186249093,0.004515160214691748,0.004373759811140654,0.004791769496724959,0.003973527869567346,0.0042170736415736085,0.005446757098847752,0.0051149324496089785,0.0038632683571957985
ctx_rh_isthmuscingulate,0.0049190757390804064,0.004752377068831438,0.004515366555614085,0.0043740169030968105,0.004792072734260623,0.003973703663964268,0.00421726241044364,0.005447098243282462,0.005115500631748174,0.08704204375611144
